RML,NOMBRE_COL,AREA,CALLE,NIVELES,US_ACT2020,geometry,Year,REGION,MANZANA,LOTE,SHAPE_AREA,ZONA,Categoria,Value
09 009 107,,,,0,HU,"MULTIPOLYGON (((-100.3965207268394 25.66576415242812, -100.3970865994953 25.66609337085692, -100.3967330953094 25.66658417288399, -100.396695775543 25.66659360757489, -100.3966952484228 25.66659361261979, -100.3961111586284 25.66630713742722, -100.3964733303364 25.66582698803531, -100.3965028795395 25.66578781372868, -100.3965207268394 25.66576415242812)))",2020,09,009,107,4790.279468559,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 110,SAN PEDRO,,LIBERTAD 505,2,HU,"MULTIPOLYGON (((-100.3985409656439 25.6637988066434, -100.3985480044087 25.66378347817462, -100.3985568987816 25.66376410698015, -100.3985608636126 25.66375547286957, -100.3985786844293 25.66371666245696, -100.3985835090507 25.6637061548007, -100.3985928464513 25.66368582052292, -100.3986104622732 25.66364745808333, -100.3986689465798 25.66366883798131, -100.3986565352706 25.66369586662407, -100.3986528026507 25.66370399561946, -100.3986430863735 25.66372515603581, -100.3986393828978 25.66373322155147, -100.3986310073162 25.66375146101134, -100.3986192653921 25.66377703324543, -100.3985997531218 25.66381952547763, -100.3985971822679 25.66381861926692, -100.3985409656439 25.6637988066434)))",2020,09,009,110,114.6926114417,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 117,,,ZARAGOZA 413,3,HU,"MULTIPOLYGON (((-100.3983610069424 25.66419071580436, -100.3983862873447 25.66413565922755, -100.3983990215932 25.66414014720822, -100.3984285014277 25.6641505365265, -100.3984489372502 25.66415773873394, -100.3984757121952 25.66416717526207, -100.3984881303418 25.66417155160063, -100.3985137769096 25.66418058993912, -100.3985381110446 25.66418916594596, -100.398569592576 25.66420026104865, -100.3985445813385 25.66425541258387, -100.3985122165005 25.66424400632866, -100.3985029784091 25.6642407506644, -100.398489901027 25.66423614138689, -100.3984506438994 25.6642223065636, -100.39842250949 25.66421239099959, -100.3983751796788 25.66419571095352, -100.3983610069424 25.66419071580436)))",2020,09,009,117,130.4719244757,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 116,SAN PEDRO,,ZARAGOZA 411,3,HU,"MULTIPOLYGON (((-100.3983862873447 25.66413565922755, -100.3984125373562 25.66407849420989, -100.3984532559192 25.66409284411692, -100.3984713959728 25.66409923768988, -100.3985304356735 25.66412004531877, -100.3985536754295 25.66412823545553, -100.3985955634166 25.66414299755596, -100.398569592576 25.66420026104865, -100.3985381110446 25.66418916594596, -100.3985137769096 25.66418058993912, -100.3984881303418 25.66417155160063, -100.3984757121952 25.66416717526207, -100.3984489372502 25.66415773873394, -100.3984285014277 25.6641505365265, -100.3983990215932 25.66414014720822, -100.3983862873447 25.66413565922755)))",2020,09,009,116,135.2666421509,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 115,,,ZARAGOZA 409,3,HU,"MULTIPOLYGON (((-100.3984125373562 25.66407849420989, -100.3984377934426 25.6640234920294, -100.3984782078978 25.66403773559812, -100.3984952145608 25.66404372922812, -100.3985012075572 25.6640458413702, -100.3985169918166 25.66405140431042, -100.3985774929877 25.66407272699147, -100.3986205503492 25.66408790131999, -100.3985955634166 25.66414299755596, -100.3985536754295 25.66412823545553, -100.3985304356735 25.66412004531877, -100.3984713959728 25.66409923768988, -100.3984532559192 25.66409284411692, -100.3984125373562 25.66407849420989)))",2020,09,009,115,129.9528436146,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 114,,,ZARAGOZA NTE 407,3,HU,"MULTIPOLYGON (((-100.3984377934426 25.6640234920294, -100.3984485697294 25.66400002369344, -100.3984500202268 25.66399686423537, -100.398463239931 25.66396807541406, -100.398502205886 25.66398180829557, -100.3985221885291 25.66398885051595, -100.3985341085005 25.66399305195618, -100.398550691019 25.6639988961583, -100.3985588137236 25.66400175893092, -100.398587856393 25.6640119944068, -100.3986027383486 25.66401723914972, -100.3986457256701 25.6640323888626, -100.3986205503492 25.66408790131999, -100.3985774929877 25.66407272699147, -100.3985169918166 25.66405140431042, -100.3985012075572 25.6640458413702, -100.3984952145608 25.66404372922812, -100.3984782078978 25.66403773559812, -100.3984377934426 25.6640234920294)))",2020,09,009,114,130.7402897292,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 113,SAN PEDRO,,ZARAGOZA 405,3,HU,"MULTIPOLYGON (((-100.398463239931 25.66396807541406, -100.3984725666766 25.6639477638169, -100.3984892673773 25.66391139373997, -100.3985241449612 25.66392368600683, -100.3985293776977 25.66392553006128, -100.3985756490712 25.66394183739149, -100.3986104106284 25.6639540883146, -100.3986272832378 25.66396003445972, -100.3986579734546 25.66397085092251, -100.3986714759496 25.66397560959769, -100.3986457256701 25.6640323888626, -100.3986027383486 25.66401723914972, -100.398587856393 25.6640119944068, -100.3985588137236 25.66400175893092, -100.398550691019 25.6639988961583, -100.3985341085005 25.66399305195618, -100.3985221885291 25.66398885051595, -100.398502205886 25.66398180829557, -100.398463239931 25.66396807541406)))",2020,09,009,113,133.5239383631,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 112,SAN PEDRO,,ZARAGOZA 403,3,HU,"MULTIPOLYGON (((-100.3984892673773 25.66391139373997, -100.398491992538 25.66390545932004, -100.3985147973791 25.6638557957444, -100.3985534532028 25.66386941963075, -100.3985723004554 25.66387606192434, -100.3985766709016 25.66387760185128, -100.3986003947824 25.66388596340037, -100.3986371239794 25.66389890781708, -100.3986512026565 25.6639038695331, -100.3986820489064 25.66391474047321, -100.398696733788 25.66391991576969, -100.3986714759496 25.66397560959769, -100.3986579734546 25.66397085092251, -100.3986272832378 25.66396003445972, -100.3986104106284 25.6639540883146, -100.3985756490712 25.66394183739149, -100.3985293776977 25.66392553006128, -100.3985241449612 25.66392368600683, -100.3984892673773 25.66391139373997)))",2020,09,009,112,130.7733053329,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 111,SAN PEDRO,,ZARAGOZA 401,3,HU,"MULTIPOLYGON (((-100.3985147973791 25.6638557957444, -100.3985315505075 25.6638193104976, -100.3985409656439 25.6637988066434, -100.3985971822679 25.66381861926692, -100.3985997531218 25.66381952547763, -100.3986583345467 25.66384017132492, -100.3986758813621 25.66384635477554, -100.3987093234625 25.66385814070868, -100.3987226238795 25.66386282818468, -100.398696733788 25.66391991576969, -100.3986820489064 25.66391474047321, -100.3986512026565 25.6639038695331, -100.3986371239794 25.66389890781708, -100.3986003947824 25.66388596340037, -100.3985766709016 25.66387760185128, -100.3985723004554 25.66387606192434, -100.3985534532028 25.66386941963075, -100.3985147973791 25.6638557957444)))",2020,09,009,111,133.8435657331,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 109,SAN PEDRO,,LIBERTAD 503,2,HU,"MULTIPOLYGON (((-100.3985997531218 25.66381952547763, -100.3986192653921 25.66377703324543, -100.3986310073162 25.66375146101134, -100.3986393828978 25.66373322155147, -100.3986430863735 25.66372515603581, -100.3986528026507 25.66370399561946, -100.3986565352706 25.66369586662407, -100.3986689465798 25.66366883798131, -100.3987272248133 25.66369014308711, -100.3987135825864 25.66371985238114, -100.3987108166365 25.66372587567594, -100.3986970704518 25.66375581167954, -100.3986774678815 25.66379850251267, -100.3986583345467 25.66384017132492, -100.3985997531218 25.66381952547763)))",2020,09,009,109,113.7887189609,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 118,,,ZARAGOZA 415,0,HU,"MULTIPOLYGON (((-100.3983315342948 25.6642548998161, -100.3983610069424 25.66419071580436, -100.3983751796788 25.66419571095352, -100.39842250949 25.66421239099959, -100.3984506438994 25.6642223065636, -100.398489901027 25.66423614138689, -100.3985029784091 25.6642407506644, -100.3985122165005 25.66424400632866, -100.3985445813385 25.66425541258387, -100.398515422883 25.66431970737894, -100.3984287668325 25.66428916701593, -100.3983946524146 25.6642771445951, -100.3983315342948 25.6642548998161)))",2020,09,009,118,152.3442049858,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 037,SAN PEDRO,,ZARAGOZA Y LIBERTAD 501,2,HU,"MULTIPOLYGON (((-100.3986583345467 25.66384017132492, -100.3986774678815 25.66379850251267, -100.3986970704518 25.66375581167954, -100.3987108166365 25.66372587567594, -100.3987135825864 25.66371985238114, -100.3987272248133 25.66369014308711, -100.3987904554594 25.6637132578837, -100.3987739368209 25.66374968222451, -100.3987603891443 25.66377955403376, -100.398738040197 25.6638288340747, -100.3987226238795 25.66386282818468, -100.3987093234625 25.66385814070868, -100.3986758813621 25.66384635477554, -100.3986583345467 25.66384017132492)))",2020,09,009,037,123.5979659176,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 009 091,,,LIBERTAD 555,2,HU,"MULTIPOLYGON (((-100.3981401123214 25.66347551089631, -100.3980632310777 25.66360028211512, -100.3980077772395 25.66369027939109, -100.3978920745974 25.66387805460269, -100.3978798042693 25.66389796821047, -100.3975895665776 25.66373910451329, -100.3977164907743 25.66357019563878, -100.3977051511959 25.66356398873861, -100.3977177574696 25.66354751181966, -100.3977382344252 25.66352074638314, -100.3977793875292 25.66346695718245, -100.3978232586871 25.66340961537206, -100.3978531144724 25.66337059136261, -100.3981401123214 25.66347551089631)))",2020,09,009,091,1658.067115696,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
