RML,NOMBRE_COL,AREA,CALLE,NIVELES,US_ACT2020,geometry,Year,REGION,MANZANA,LOTE,SHAPE_AREA,ZONA,Categoria,Value
09 029 001,,5684.0,INDEP CORREGIDORA E HIDALGO,0,EA,"MULTIPOLYGON (((-100.4045636212752 25.6666695556969, -100.404572947462 25.66669496458881, -100.4041361633943 25.66741291853029, -100.4041177688485 25.66742064284324, -100.4036301073711 25.66717419184705, -100.4036162395316 25.66714642836025, -100.4039544816395 25.66646416276032, -100.4045636212752 25.6666695556969)))",2011,,,,,Casco Urbano,ESPACIOS ABIERTOS,1
09 016 005,,736.0,STA BARBARA 205,2,HU,"MULTIPOLYGON (((-100.3923172188101 25.66078871850656, -100.3923673941712 25.66069622569426, -100.3925567611101 25.66077768682381, -100.3926965114674 25.66077861058143, -100.3927281092353 25.66093267704665, -100.3926993408133 25.6609819740426, -100.3926988063251 25.66098286083988, -100.3926390194215 25.6609547584346, -100.3925831161754 25.6609661896228, -100.3925761525612 25.66094290866198, -100.3924560791996 25.66096764850588, -100.3924423899859 25.6609147713188, -100.3924415892678 25.66091283922527, -100.392438554321 25.66090616725704, -100.3924369590285 25.66090283201529, -100.3924361619967 25.66090121729616, -100.3924353256382 25.66089956767744, -100.3924344503827 25.6608979184298, -100.3924336144439 25.66089630408183, -100.3924327395879 25.6608946900961, -100.3924318643326 25.66089304085746, -100.3924293626498 25.66088872675893, -100.3924284103895 25.66088714878635, -100.392427419222 25.6608855711759, -100.3924264669617 25.66088399320331, -100.3924254757844 25.66088241560197, -100.3924244461195 25.66088087363352, -100.3924234160352 25.66087929640333, -100.3924223863703 25.66087775443486, -100.3924202885333 25.66087470613098, -100.3924181128722 25.66087165856949, -100.3924170062026 25.66087018787608, -100.3924158991234 25.6608686819118, -100.3924136464676 25.66086570562524, -100.3924124619739 25.66086423566519, -100.3924113163973 25.66086276534289, -100.3924101323132 25.66086133064463, -100.3924089478296 25.66085986069348, -100.3924077248385 25.6608584263754, -100.3924065022571 25.66085702731912, -100.3924052792759 25.66085559299189, -100.3924002333221 25.66084999825128, -100.3923976333404 25.66084727215598, -100.3923962944475 25.66084590947492, -100.3923922789777 25.66084192723535, -100.3923909015774 25.66084060018731, -100.3923881476061 25.66083801663278, -100.3923853158107 25.66083543381158, -100.3923824848346 25.660832921523, -100.392381030849 25.66083170101165, -100.392379576444 25.66083044523857, -100.3923780835515 25.66082922510738, -100.3923766295661 25.660828004596, -100.3923736445903 25.66082563484826, -100.3923690897172 25.6608221162352, -100.3923675202295 25.66082100263177, -100.3923659892392 25.66081985338631, -100.3923644197514 25.66081873978284, -100.392356305268 25.66081363280326, -100.392353013112 25.66081161866073, -100.3923513666295 25.66081057633208, -100.3923497205465 25.6608095692563, -100.3923480355565 25.66080856256067, -100.3923430973279 25.66080554135101, -100.3923397666748 25.66080356285016, -100.3923381205921 25.66080255578327, -100.3923364360119 25.66080158434933, -100.3923347899392 25.6608005772823, -100.392333105359 25.66079960584831, -100.3923297747061 25.66079762733819, -100.392328090126 25.66079665590414, -100.3923247594734 25.66079467740292, -100.3923197057434 25.66079176310043, -100.392318021573 25.66079082692809, -100.392316685948 25.66078974636798, -100.3923172188101 25.66078871850656)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 016 059,,635.0,CALZ STA BARBARA,2,HU,"MULTIPOLYGON (((-100.392441895133 25.66072827397667, -100.3925238966812 25.6605750281674, -100.3926481752643 25.66063429175615, -100.3926806053247 25.66064897121652, -100.3928476440337 25.66072778830572, -100.392728107086 25.66093267211046, -100.3926965093181 25.66077860564525, -100.3925567589608 25.66077768188762, -100.392441895133 25.66072827397667)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
09 016 058,,650.0,STA BARBARA,2,HU,"MULTIPOLYGON (((-100.3925345561329 25.66055478257092, -100.3925976823112 25.66043486870146, -100.3926103635149 25.6604411664879, -100.3927307379318 25.66049598822401, -100.3927467612693 25.66050190142344, -100.3927497319058 25.66050303692783, -100.3929301766101 25.66058355994289, -100.3929208744574 25.66060350458265, -100.3928476427103 25.66072778244072, -100.3926806040014 25.66064896535153, -100.392648173941 25.66063428589115, -100.3925238953579 25.6605750223024, -100.3925345561329 25.66055478257092)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
03 060 014,ZONA LA CIMA,3248.0,GENERAL  NARANJO,7,HM,"MULTIPOLYGON (((-100.4019777695531 25.65375578899538, -100.4015464998204 25.65430735752821, -100.4012400432415 25.65419903624439, -100.4012260077815 25.65416517389037, -100.4014920410613 25.65357177625291, -100.4019777695531 25.65375578899538)))",2011,,,,,Casco Urbano,HABITACIONAL MULTIFAMILIAR,1
10 000 010,,15143.0,V CARRANZA,0,BU,"MULTIPOLYGON (((-100.4011893296194 25.65245977210513, -100.4017553148506 25.65267238482128, -100.4010956400926 25.65413668973429, -100.4002852890197 25.65392287860441, -100.4009809585065 25.65238149660621, -100.4011893296194 25.65245977210513)))",2011,,,,,Casco Urbano,BALDIO URBANO,1
10 000 307,,578.0,NARANJO,0,HM,"MULTIPOLYGON (((-100.4015309241571 25.65348863583198, -100.4020458684786 25.65367164978054, -100.4019777793116 25.65375662375381, -100.4014911200648 25.65357178509457, -100.4015309241571 25.65348863583198)))",2011,,,,,Casco Urbano,HABITACIONAL MULTIFAMILIAR,1
10 000 298,,1207.0,MATANCILLAS OTE,2,HU,"MULTIPOLYGON (((-100.4019116574093 25.65332706499419, -100.4019269293864 25.6532883821761, -100.4019403793569 25.65325591859192, -100.4022763952819 25.65337807225653, -100.4021293705002 25.65356565644312, -100.4020458782375 25.65367248453894, -100.4018086339842 25.65358801538032, -100.4019116574093 25.65332706499419)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
10 000 299,P DE LA SIERRA,1107.0,MATANCILLAS 207,2,HU,"MULTIPOLYGON (((-100.4019403864358 25.65325591487638, -100.4019269364653 25.65328837846056, -100.4018086410631 25.65358801166479, -100.4015309269619 25.65348862267749, -100.4016578544485 25.6532083514754, -100.4017082476545 25.65318587969427, -100.4019403864358 25.65325591487638)))",2011,,,,,Casco Urbano,HABITACIONAL UNIFAMILIAR,1
10 000 300,,1149.0,MATANCILLAS OTE 206,0,BU,"MULTIPOLYGON (((-100.4022019602476 25.65284133255134, -100.4023296904107 25.65288944264073, -100.4023051373674 25.65325593475377, -100.4019808621973 25.65314985297007, -100.4021121106315 25.65280749022986, -100.4022019602476 25.65284133255134)))",2011,,,,,Casco Urbano,BALDIO URBANO,1
